model_id,embedding_family,embedding,model,beta,accuracy,precision,recall,f_1.0,f_0.7,f_0.5,f_0.3,TN,TP,FP,FN,confusion_matrix,score_type,model_path
CM107,longformer,longformer_cls_pca,RandomForest,0.5,0.7368421052631579,0.7407407407407407,0.273972602739726,0.4,,0.5524861878453039,,148,20,7,53,"[[148, 7], [53, 20]]",,
CM108,longformer,longformer_cls_pca,XGBoost,0.5,0.7192982456140351,0.5918367346938775,0.3972602739726027,0.4754098360655737,,0.5390334572490706,,135,29,20,44,"[[135, 20], [44, 29]]",,
CM109,longformer,longformer_mean,LogisticRegression,1.0,0.75,0.58,0.7945205479452054,0.6705202312138728,,,,113,58,42,15,"[[113, 42], [15, 58]]",,
CM110,longformer,longformer_mean,RidgeClassifier,1.0,0.7324561403508771,0.5666666666666667,0.6986301369863014,0.6257668711656442,,,,116,51,39,22,"[[116, 39], [22, 51]]",,
CM111,longformer,longformer_mean,LDA,1.0,0.5964912280701754,0.4128440366972477,0.6164383561643836,0.4945054945054945,,,,91,45,64,28,"[[91, 64], [28, 45]]",,
CM112,longformer,longformer_mean,SVM,1.0,0.7587719298245614,0.6216216216216216,0.6301369863013698,0.6258503401360545,,,,127,46,28,27,"[[127, 28], [27, 46]]",,
CM113,longformer,longformer_mean,KNN,1.0,0.7412280701754386,0.6166666666666667,0.5068493150684932,0.556390977443609,,,,132,37,23,36,"[[132, 23], [36, 37]]",,
CM114,longformer,longformer_mean,MLPClassifier,1.0,0.7105263157894737,0.5402298850574713,0.6438356164383562,0.5875,,,,115,47,40,26,"[[115, 40], [26, 47]]",,
CM115,longformer,longformer_mean,DecisionTree,1.0,0.618421052631579,0.4339622641509434,0.6301369863013698,0.5139664804469274,,,,95,46,60,27,"[[95, 60], [27, 46]]",,
CM116,longformer,longformer_mean,RandomForest,1.0,0.7543859649122807,0.6231884057971014,0.589041095890411,0.6056338028169014,,,,129,43,26,30,"[[129, 26], [30, 43]]",,
CM117,longformer,longformer_mean,XGBoost,1.0,0.7631578947368421,0.6938775510204082,0.4657534246575342,0.5573770491803278,,,,140,34,15,39,"[[140, 15], [39, 34]]",,
CM118,longformer,longformer_mean,LogisticRegression,0.5,0.7368421052631579,0.6181818181818182,0.4657534246575342,0.53125,,0.5802047781569966,,134,34,21,39,"[[134, 21], [39, 34]]",,
CM119,longformer,longformer_mean,RidgeClassifier,0.5,0.7456140350877193,0.6027397260273972,0.6027397260273972,0.6027397260273972,,0.6027397260273972,,126,44,29,29,"[[126, 29], [29, 44]]",,
CM120,longformer,longformer_mean,LDA,0.5,0.5964912280701754,0.4128440366972477,0.6164383561643836,0.4945054945054945,,0.4420432220039292,,91,45,64,28,"[[91, 64], [28, 45]]",,
CM121,longformer,longformer_mean,SVM,0.5,0.75,0.6481481481481481,0.4794520547945205,0.5511811023622047,,0.6055363321799307,,136,35,19,38,"[[136, 19], [38, 35]]",,
CM122,longformer,longformer_mean,KNN,0.5,0.7412280701754386,0.6166666666666667,0.5068493150684932,0.556390977443609,,0.5910543130990416,,132,37,23,36,"[[132, 23], [36, 37]]",,
CM123,longformer,longformer_mean,MLPClassifier,0.5,0.7192982456140351,0.5517241379310345,0.6575342465753424,0.6,,0.5700712589073634,,116,48,39,25,"[[116, 39], [25, 48]]",,
CM124,longformer,longformer_mean,DecisionTree,0.5,0.6842105263157895,0.5057471264367817,0.6027397260273972,0.55,,0.5225653206650831,,112,44,43,29,"[[112, 43], [29, 44]]",,
